GO:0007165	GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0009058;GO:0043603;GO:0044271	GO:0050794	GO:0007017	GO:0000387	GO:0006811;GO:0006810;GO:0051234;GO:0051179	GO:0050896	GO:0031323;GO:0051171;GO:0080090	GO:0000209;GO:0016567;GO:0032446;GO:0070647	GO:0006996	GO:0006950	GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0051641;GO:0051649	GO:0010629;GO:0010605;GO:0009892;GO:0048519;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:0044248;GO:1901575;GO:0009056	GO:1903047	GO:0022402	GO:0051252;GO:0019219	GO:0000398;GO:0000377;GO:0000375;GO:0008380	GO:0006364;GO:0016072;GO:0034470;GO:0034660	GO:0006464;GO:0036211;GO:0043412	GO:0032502	GO:0000028	GO:0010468;GO:0060255;GO:0019222
0	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
0.000	1.000	0	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.417
1.000	1.000	1.000	0	1.000	0.800	1.000	1.000	1.000	0.400	1.000	0.800	1.000	0.600	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	0.875	1.000	0.000	1.000	0.857	0.889	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	0.714	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000
1.000	1.000	1.000	0.400	1.000	0.875	1.000	1.000	1.000	0	1.000	0.857	0.875	0.857	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.800	1.000	0.000	1.000	1.000	1.000	0.857	1.000	0	1.000	0.857	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.778	1.000	1.000	1.000	1.000	0.714	1.000	0.875	1.000	1.000	0	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.111
1.000	1.000	1.000	0.600	1.000	0.857	1.000	1.000	1.000	0.857	1.000	0.857	1.000	0	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	0.600	1.000	0.889	1.000	1.000	1.000	0.875	1.000	0.857	1.000	0.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	0.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.800	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	1.000
1.000	1.000	0.417	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	0.111	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	0
